id,timestamp,pais,ciudad,canal,plataforma,medio_contacto,comentario,categoria,severidad,sentimiento
3c0c82e9-c97d-421a-adda-b0e246fdb795,2024-08-17T14:06:08,CL,Lima,telefono,mobile_web,redes,En la web/app el cupón no funcionó al comprar un libro. Intenté varias veces y nada.,ecommerce,media,-0.5
4ecd2f26-8498-460e-8a6d-32a2c281e205,2024-08-17T14:43:08,ES,Buenos Aires,whatsapp,desktop,telefono,El libro mostraba un precio y cobró otro; el descuento era de 20% según la página.,precios,media,-0.7
c65f4f39-7a7a-450c-a5c5-a0801d9fc390,2024-08-17T18:45:08,UY,Lima,telefono,ios,telefono,El pedido de libro se perdió en el transporte con UPS en Cali.,logistica,media,-1.0
5efc6bbb-94f1-405a-bbdf-ba603c3e15b1,2024-08-17T19:03:08,CO,Quito,email,mobile_web,email,El pedido de televisor llegó dañado con UPS en Lima.,logistica,media,-1.0
7d1fcf1c-77cc-4ec9-add5-9bd0333c9b39,2024-08-17T22:00:08,UY,Quito,telefono,desktop,email,El laptop el precio no incluye impuestos; el descuento era de 25% según la página.,precios,baja,-0.7
9b28790a-51c2-4ab1-853b-e7366fd0e65e,2024-08-17T22:16:08,AR,Quito,telefono,ios,chat,El pedido de libro el repartidor no llamó al llegar con DHL en Lima.,logistica,media,-0.5
03737e5c-13a8-4113-ab43-999b2b6e9f9d,2024-08-18T10:43:08,UY,Montevideo,app,mobile_web,chat,El impresora los gastos de envío son muy altos; el descuento era de 50% según la página.,precios,media,-0.7
d0d02ba6-6171-4ed7-94d1-8cbeadb3ceca,2024-08-18T10:50:08,CL,Cali,email,ios,email,El pedido de tablet no llegó en la franja de tarde con 99minutos en Quito.,logistica,media,-1.0
c2076324-813f-42b4-baa8-9e5a64ced152,2024-08-18T13:27:08,CO,Barranquilla,app,android,whatsapp,El mochila el descuento no se aplicó; el descuento era de 40% según la página.,precios,baja,-1.0
3126ffb5-5a83-446c-b036-3033e828ee65,2024-08-18T17:55:08,AR,Barranquilla,telefono,desktop,email,El televisor el precio cambió en el checkout; el descuento era de 25% según la página.,precios,media,-0.4
a2800c49-3d17-44f6-bb39-471af7f58223,2024-08-19T01:38:08,CL,Lima,redes,mobile_web,redes,El pedido de cafetera se perdió en el transporte con Estafeta en Quito.,logistica,media,-1.0
c50c797e-0120-46fd-b067-2588caf37b19,2024-08-19T04:03:08,MX,Buenos Aires,app,ios,whatsapp,El pedido de libro se perdió en el transporte con 99minutos en Madrid.,logistica,alta,-1.0
b99e1f29-3d51-40b7-bc27-7984536a43cf,2024-08-19T23:40:08,UY,Medellín,email,desktop,chat,El pedido de zapatillas llegóc on retraso de 6 días con FedEx en Montevideo.,logistica,media,-1.0
d7c41fe5-bc2a-463a-b5d2-4a298f26634d,2024-08-19T23:48:08,CO,Lima,email,android,redes,El pedido de televisor se perdió en el transporte con Andreani en Barranquilla.,logistica,alta,-1.0
546b172a-65bd-49f3-a3e2-8be40c2cc78b,2024-08-20T00:29:08,CO,Lima,redes,mobile_web,telefono,El pedido de tablet llegó dañado con UPS en Barcelona.,logistica,media,-1.0
6721c9ea-7a7e-4b13-bea5-a62c99600f31,2024-08-20T07:57:08,PE,Santiago,telefono,desktop,whatsapp,El pedido de teléfono la caja llegó mojada con UPS en Montevideo.,logistica,media,-1.0
e6c16273-39ee-473b-b8f0-278f08e365aa,2024-08-20T15:11:08,CO,Bogotá,redes,ios,redes,El pedido de audífonos vino a otra dirección con DHL en Bogotá.,logistica,media,-1.0
80d12eff-4fd3-4b77-88f7-cad774ea61c7,2024-08-20T17:30:08,AR,Bogotá,telefono,ios,redes,En la web/app no acepta mi tarjeta al comprar un laptop. Intenét varias veces y nada.,ecommerce,media,-1.0
